offense,date,latitude,longitude
BURGLARY,5/11/2012 3:06,40.78905403,-111.9168209
BURGLARY,3/29/2012 22:09,40.76499652,-111.8766609
BURGLARY,3/10/2012 22:26,40.77810238,-111.9225417
BURGLARY,10/16/2012 8:00,40.82876186,-111.9372164
BURGLARY,10/19/2012 8:00,40.75636098,-111.9364598
BURGLARY,6/26/2012 15:36,40.75780415,-111.8582013
BURGLARY,12/7/2012 8:40,40.75502954,-111.9283652
BURGLARY,5/31/2012 9:00,40.72057556,-111.8171082
BURGLARY,11/27/2012 15:44,40.7160917,-111.8141429
BURGLARY,6/8/2012 15:22,40.760674,-111.9082125
BURGLARY,3/1/2012 2:00,40.77810255,-111.9168032
BURGLARY,2/13/2012 16:20,40.75070339,-111.8416707
BURGLARY,7/2/2012 17:53,40.75848813,-111.9169487
BURGLARY,9/21/2012 8:37,40.76282314,-111.9167789
BURGLARY,2/24/2012 16:17,40.79093168,-111.9391933
BURGLARY,12/13/2012 13:49,40.74725684,-111.8507588
BURGLARY,5/12/2012 0:01,40.73640464,-111.8249245
BURGLARY,3/30/2012 9:08,40.76492062,-111.8740418
BURGLARY,12/17/2012 18:04,40.76064312,-111.8594787
BURGLARY,7/30/2012 3:00,40.74979031,-111.8838936
BURGLARY,5/2/2012 10:00,40.74969191,-111.8595237
BURGLARY,8/22/2012 3:00,40.80253795,-111.9455016
BURGLARY,11/21/2012 4:33,40.72542379,-111.8738313
BURGLARY,11/19/2012 22:40,40.73346712,-111.8478581
BURGLARY,2/16/2012 16:15,40.74560052,-111.9223163
BURGLARY,11/9/2012 7:22,40.80845669,-111.9207639
BURGLARY,6/12/2012 3:14,40.76503604,-111.8969462
BURGLARY,2/5/2012 10:39,40.76718852,-111.9031308
BURGLARY,10/2/2012 10:56,40.75837122,-111.929522
BURGLARY,3/16/2012 9:23,40.74438668,-111.8852476
BURGLARY,8/23/2012 18:29,40.77261962,-111.9113776
BURGLARY,8/16/2012 8:25,40.73994623,-111.8508294
BURGLARY,10/20/2012 15:35,40.77162541,-111.9090679
BURGLARY,6/8/2012 8:00,40.79785193,-111.9391534
BURGLARY,8/31/2012 16:00,40.76934579,-111.8709391
BURGLARY,12/31/2012 14:18,40.74157423,-111.8624846
BURGLARY,5/30/2012 21:00,40.78252116,-111.9453349
BURGLARY,2/22/2012 17:00,40.76708192,-111.8740251
BURGLARY,11/17/2012 2:23,40.72124098,-111.8116768
BURGLARY,11/11/2012 21:44,40.75624095,-111.865371
BURGLARY,4/2/2012 8:00,40.73866033,-111.8422822
BURGLARY,6/1/2012 11:24,40.76707241,-111.9055215
BURGLARY,11/13/2012 16:45,40.66726905,-111.9235727
BURGLARY,12/9/2012 19:00,40.76609957,-111.9198054
BURGLARY,5/28/2012 13:13,40.66726905,-111.9235727
BURGLARY,8/6/2012 9:23,40.74048974,-111.9259654
BURGLARY,1/28/2012 3:39,40.79785193,-111.9391534
BURGLARY,8/3/2012 7:36,40.76275105,-111.8768023
BURGLARY,10/1/2012 16:00,40.77369048,-111.9156619
BURGLARY,8/1/2012 18:54,40.74734047,-111.866797
BURGLARY,12/6/2012 12:30,40.74160618,-111.8680607
BURGLARY,5/9/2012 7:03,40.76705193,-111.9040894
BURGLARY,5/24/2012 17:10,40.78309338,-111.8744941
BURGLARY,5/28/2012 16:15,40.72591711,-111.9363427
BURGLARY,10/5/2012 20:00,40.74155208,-111.8539245
BURGLARY,1/3/2012 22:38,40.73916125,-111.8939551
BURGLARY,9/27/2012 13:30,40.73928845,-111.885415
BURGLARY,10/8/2012 6:45,40.74975447,-111.8766421
BURGLARY,6/8/2012 8:34,40.74051781,-111.9191302
BURGLARY,5/27/2012 10:30,40.75845631,-111.8824397
BURGLARY,6/18/2012 11:50,40.78459808,-111.9140969
BURGLARY,8/10/2012 6:46,40.77174334,-111.9168121
BURGLARY,4/20/2012 10:03,40.7781693,-111.9395243
BURGLARY,9/18/2012 7:00,40.74164604,-111.8737778
BURGLARY,3/23/2012 18:30,40.73913367,-111.8766391
BURGLARY,10/24/2012 5:53,40.7671528,-111.8705108
BURGLARY,9/7/2012 8:00,40.72124098,-111.8116768
BURGLARY,11/25/2012 17:45,40.7540401,-111.8595347
BURGLARY,1/24/2012 6:45,40.74268033,-111.8969772
BURGLARY,8/21/2012 10:30,40.7746455,-111.8881085
BURGLARY,12/26/2012 15:07,40.72685512,-111.8190603
BURGLARY,12/24/2012 15:00,40.72680438,-111.9634688
BURGLARY,8/1/2012 22:39,40.77805731,-111.9055987
BURGLARY,2/1/2012 17:30,40.73805308,-111.8566109
BURGLARY,4/27/2012 12:00,40.74289612,-111.8421495
BURGLARY,6/25/2012 12:04,40.76280502,-111.8795303
BURGLARY,2/16/2012 5:00,40.79722926,-111.9070723
BURGLARY,1/14/2012 16:29,40.76493413,-111.8826029
BURGLARY,11/22/2012 11:29,40.75400026,-111.916874
BURGLARY,6/30/2012 9:55,40.76493422,-111.8853932
BURGLARY,11/30/2012 11:25,40.73916125,-111.8939551
BURGLARY,9/7/2012 23:19,40.77379345,-111.8967325
BURGLARY,8/28/2012 20:03,40.71267532,-111.8592703
BURGLARY,9/19/2012 8:25,40.72546948,-111.8941247
BURGLARY,7/17/2012 7:00,40.75194654,-111.8852606
BURGLARY,11/16/2012 5:05,40.77378041,-111.9138229
BURGLARY,5/10/2012 6:28,40.72535257,-111.8712513
BURGLARY,10/19/2012 10:24,40.72885427,-111.8940771
BURGLARY,4/23/2012 7:30,40.75830036,-111.8539245
BURGLARY,1/25/2012 10:17,40.72106101,-111.8157198
BURGLARY,6/7/2012 14:18,40.77178304,-111.8595209
BURGLARY,7/3/2012 2:30,40.72535257,-111.8712513
BURGLARY,9/20/2012 10:41,40.76715305,-111.8652002
BURGLARY,3/12/2012 10:04,40.75632706,-111.8969278
BURGLARY,2/5/2012 19:00,40.73343037,-111.8739454
BURGLARY,11/30/2012 19:04,40.76239042,-111.9082066
BURGLARY,5/23/2012 9:30,40.78894305,-111.9234004
BURGLARY,8/12/2012 16:46,40.78675874,-111.9026274
BURGLARY,8/25/2012 23:30,40.73349332,-111.8766385
BURGLARY,7/4/2012 0:48,40.70337861,-111.8520329
BURGLARY,9/7/2012 9:35,40.75187022,-111.891083
BURGLARY,11/26/2012 9:00,40.71262661,-111.8738708
BURGLARY,2/5/2012 10:39,40.76718852,-111.9031308
BURGLARY,7/18/2012 0:35,40.72535257,-111.8712513
BURGLARY,11/1/2012 12:58,40.76839187,-111.9438848
BURGLARY,11/16/2012 18:34,40.78237099,-111.886614
BURGLARY,3/16/2012 18:00,40.72660631,-111.8284768
BURGLARY,2/6/2012 21:37,40.78466104,-111.9168121
